ip,QUERY,CONNECT,DISCONN,instance_id,name,type,asg,role,env,repo,az
172.17.142.225,0,14,13,i-0ffb2044e2a9cd3a1,dbproxy-production-iad,t3.medium,dbproxy-production-iad,dbproxy,prod,https://github.com/CognitiveNetworks/dbproxy,us-east-1f
172.17.154.141,0,10,10,i-034819121158b697a,retargeting-staging-iad,c5.2xlarge,retargeting-staging-iad,retargeting,stage,https://github.com/CognitiveNetworks/retargeting,us-east-1f
172.17.91.144,0,8,8,i-032deb77e9ea99a65,retargeting-staging-iad,c5.2xlarge,retargeting-staging-iad,retargeting,stage,https://github.com/CognitiveNetworks/retargeting,us-east-1d
172.17.63.40,0,8,8,i-0f3abd1967ba4d571,retargeting-staging-iad,c5.2xlarge,retargeting-staging-iad,retargeting,stage,https://github.com/CognitiveNetworks/retargeting,us-east-1c
172.17.23.226,0,6,6,i-0aa9e624757f1e789,retargeting-staging-iad,c5.2xlarge,retargeting-staging-iad,retargeting,stage,https://github.com/CognitiveNetworks/retargeting,us-east-1b
172.17.26.126,0,6,6,i-003d803e5decb09e2,retargeting-staging-iad,c5.2xlarge,retargeting-staging-iad,retargeting,stage,https://github.com/CognitiveNetworks/retargeting,us-east-1b
172.17.26.252,0,4,4,i-0f197447dc61784ea,retargeting-staging-iad,c5.2xlarge,retargeting-staging-iad,retargeting,stage,https://github.com/CognitiveNetworks/retargeting,us-east-1b
172.17.48.96,0,4,4,i-0071dc6a44a2d48c4,retargeting-staging-iad,c5.2xlarge,retargeting-staging-iad,retargeting,stage,https://github.com/CognitiveNetworks/retargeting,us-east-1c
172.17.83.71,0,4,4,i-0251d3135e0bca3d8,retargeting-staging-iad,c5.2xlarge,retargeting-staging-iad,retargeting,stage,https://github.com/CognitiveNetworks/retargeting,us-east-1d
172.17.94.182,0,4,4,i-0ee5ce299268658d6,retargeting-staging-iad,c5.2xlarge,retargeting-staging-iad,retargeting,stage,https://github.com/CognitiveNetworks/retargeting,us-east-1d
172.17.25.145,0,2,2,i-02482f119314d25b3,retargeting-staging-iad,c5.2xlarge,retargeting-staging-iad,retargeting,stage,https://github.com/CognitiveNetworks/retargeting,us-east-1b
172.17.54.111,0,2,2,i-0a5cfd481a382a87b,retargeting-staging-iad,c5.2xlarge,retargeting-staging-iad,retargeting,stage,https://github.com/CognitiveNetworks/retargeting,us-east-1c
172.17.89.84,0,2,2,i-0c5296bdafecb4e0e,retargeting-staging-iad,c5.2xlarge,retargeting-staging-iad,retargeting,stage,https://github.com/CognitiveNetworks/retargeting,us-east-1d
172.17.157.80,0,2,2,i-0881c508b16924c9c,retargeting-staging-iad,c5.2xlarge,retargeting-staging-iad,retargeting,stage,https://github.com/CognitiveNetworks/retargeting,us-east-1f
172.17.129.158,0,1,1,i-063678a08e0d73e51,control-plane-dts-dtsstage-iad,t3.small,control-plane-dts-dtsstage-iad,control-plane-dts,stage,https://github.com/CognitiveNetworks/control-plane-dts,us-east-1f
